personid,income,female,education,experience,migrant,homeowner,black,hispanic,asian,unemployed,married,age,part_time
44,34286,0,7,33,0,1,1,0,0,0,1,57,1
45,28002,1,9,27,0,1,0,0,0,0,0,49,1
46,38630,0,9,36,0,0,0,0,0,0,1,60,0
47,42441,0,14,37,0,1,0,1,0,0,1,60,0
48,77729,1,21,17,0,1,0,0,0,0,0,50,0
49,55622,0,19,10,0,0,1,0,0,0,0,37,0
50,11051,1,7,28,0,1,1,0,0,0,1,52,1
51,32152,0,9,18,0,1,0,0,0,0,0,34,0
52,34439,1,9,30,0,1,0,0,0,0,0,47,0
53,27017,1,12,6,0,1,0,0,0,0,0,26,0
54,35177,0,14,21,0,0,0,0,0,0,1,49,0
55,31183,0,7,20,0,1,1,0,0,0,0,33,1
56,15756,1,10,14,0,1,1,0,0,0,1,36,1
57,33624,0,9,27,0,1,0,1,0,0,1,42,0
58,18599,1,9,33,0,0,1,0,0,1,1,55,0
59,30337,1,10,19,0,1,0,0,0,0,0,36,0
60,34789,0,9,29,0,1,0,0,0,0,1,46,0
61,37310,0,16,11,0,1,0,0,0,0,1,35,0
62,21567,1,8,25,0,1,0,1,0,0,1,43,1
63,30044,1,10,17,0,1,0,0,0,0,1,38,0
64,13406,1,9,13,0,1,0,0,0,0,0,35,1
65,32383,0,12,19,0,1,0,0,0,0,0,45,0
66,33101,1,9,26,0,1,0,0,0,0,1,48,0
67,29590,1,11,16,0,1,0,0,0,0,0,37,0
68,32784,1,9,24,0,1,0,0,0,0,0,52,0
69,58175,1,19,18,0,1,1,0,0,0,0,47,0
70,13769,1,7,18,0,0,0,1,0,0,1,38,1
71,12195,0,9,19,1,1,0,1,0,0,1,41,1
72,32837,1,11,26,0,1,0,0,0,0,1,53,0
73,36693,1,9,37,0,1,0,1,0,0,1,55,0
74,35768,1,7,24,0,0,0,1,0,0,1,43,0
75,30130,1,7,12,0,1,1,0,0,0,1,31,0
76,34299,1,14,16,0,1,0,0,0,0,1,36,1
77,37836,0,9,36,0,1,0,0,0,0,1,55,0
78,31607,1,7,34,0,0,0,1,0,0,1,52,1
79,28997,1,10,14,0,1,0,0,0,0,0,31,0
80,45060,0,17,17,0,1,0,0,0,0,0,48,0
81,29198,1,8,13,0,0,1,0,0,0,1,28,0
82,94848,1,19,9,0,0,0,1,0,0,1,36,1
83,15051,0,7,34,0,0,0,1,0,0,1,48,1
84,37607,1,9,38,0,1,0,0,0,0,0,52,0
85,39451,0,7,35,0,1,1,0,0,0,1,52,0
86,30755,0,9,15,0,1,0,0,0,0,1,30,0
87,31145,1,12,19,0,0,0,0,0,0,0,49,0
88,22456,1,11,26,0,1,0,0,0,0,1,46,1
89,35081,0,11,30,0,0,0,0,0,0,1,50,0
90,33900,0,14,21,0,0,1,0,0,0,1,52,0
91,15756,1,9,22,0,1,0,0,0,0,1,47,1
92,28830,1,9,11,0,1,0,0,0,0,0,29,0
93,32324,0,10,22,0,1,0,0,1,0,1,39,0
94,65858,0,19,12,0,1,1,0,0,0,0,36,0
95,36826,1,12,40,0,1,1,0,0,0,1,60,0
96,12478,0,7,22,1,0,0,1,0,1,0,34,0
97,33426,0,9,24,0,1,0,0,0,0,1,53,0
98,73495,0,21,12,0,1,0,0,0,0,1,39,0
99,33830,0,7,21,1,1,0,1,0,0,0,42,0
100,33909,1,14,23,0,0,0,1,0,0,1,56,0
101,34238,0,7,22,0,1,1,0,0,0,0,36,0
102,33862,0,14,20,0,1,0,1,0,0,1,52,0
103,43897,1,18,4,0,0,0,0,0,0,0,28,0
104,32367,0,9,40,0,0,0,0,0,0,1,56,1
105,37135,0,12,36,0,0,1,0,0,0,1,55,0
106,32324,1,9,21,0,0,0,0,0,0,1,39,0
107,79054,1,21,19,0,1,0,0,0,0,0,52,0
108,4980,1,14,18,0,0,0,1,0,1,0,44,0
109,19872,0,14,9,0,1,1,0,0,0,0,30,1
110,4145,1,10,9,0,0,0,1,0,1,0,25,0
111,4468,0,9,22,0,1,0,0,0,1,0,49,0
112,35280,0,9,28,0,0,0,0,0,0,1,45,0
113,30048,0,9,13,0,0,0,0,0,0,0,28,0
114,16763,1,13,22,0,0,0,0,0,0,0,47,1
115,37491,0,16,14,0,1,0,0,0,0,0,42,0
116,11700,0,7,19,1,1,0,1,0,0,0,32,1
117,32820,1,9,23,0,1,0,0,0,0,0,37,0
118,35796,0,9,30,0,1,0,0,0,0,0,49,0
119,21370,1,16,20,0,1,0,0,0,0,1,43,1
120,69203,1,21,12,0,0,0,0,0,0,0,43,0
121,29074,0,10,11,0,1,0,0,0,0,0,27,0
122,3521,0,7,17,0,0,1,0,0,1,1,30,0
123,27023,0,9,14,0,1,0,0,0,0,1,33,1
124,58411,0,19,14,0,1,0,1,0,0,0,39,0
125,33216,0,9,21,0,0,0,0,0,0,0,39,0
126,65293,1,21,31,0,1,0,0,0,0,1,59,1
127,38758,1,12,42,0,1,0,0,1,0,1,60,0
128,35047,0,9,28,0,1,0,0,0,0,1,52,0
129,10524,1,9,27,0,0,0,0,0,0,1,45,1
130,28229,0,13,7,0,0,1,0,0,0,0,26,0
131,24995,1,10,22,0,1,0,0,0,0,1,43,1
132,35712,0,7,24,0,0,0,1,0,0,0,40,0
133,34529,1,9,30,0,1,0,0,0,0,1,46,0
134,28784,1,14,8,0,0,1,0,0,0,0,28,0
135,22610,0,10,16,0,1,0,0,0,0,1,40,1
136,24435,0,7,23,0,1,0,1,0,0,1,37,1
137,33658,0,8,37,0,1,1,0,0,0,1,52,1
138,12499,0,9,18,0,1,0,0,0,0,1,40,1
139,33859,0,7,19,0,1,0,1,0,0,1,36,0
140,47975,0,18,14,0,0,0,0,0,0,0,43,0
141,46770,0,17,28,0,1,0,0,0,0,1,50,0
142,28246,1,10,11,0,0,0,0,0,0,0,29,0
143,36857,1,16,13,0,0,0,0,0,0,0,38,0
144,27636,1,10,16,1,1,0,0,1,0,0,33,0
145,34874,1,9,30,0,1,0,0,0,0,1,44,0
146,28517,0,10,10,0,1,0,0,0,0,0,32,0
147,29022,1,9,22,0,0,0,0,0,0,1,38,1
148,37773,0,7,26,0,1,0,1,0,0,0,41,0
149,26128,1,14,21,0,1,0,1,0,0,1,45,1
150,30648,1,7,9,0,1,0,1,0,0,0,26,0
151,30619,1,9,39,0,0,0,0,0,0,1,57,1
152,36144,1,9,35,0,1,0,0,0,0,1,59,0
153,48587,1,18,16,0,1,0,0,0,0,1,49,0
154,35945,0,17,11,0,1,0,0,1,0,0,38,1
155,23082,0,9,14,0,1,0,0,0,0,0,33,1
156,31292,1,7,19,1,1,0,1,0,0,0,38,0
157,10483,1,7,11,0,0,1,0,0,0,0,27,1
158,32462,1,9,23,0,1,0,0,0,0,1,47,0
159,14692,1,12,33,0,1,0,0,0,0,1,57,1
160,33463,0,13,19,0,0,0,0,0,0,1,41,0
161,37324,1,7,31,0,1,0,1,0,0,1,58,0
162,29239,1,9,12,0,1,0,0,0,0,1,26,0
163,33845,1,9,28,0,1,0,0,0,0,1,52,0
164,28033,1,9,8,0,0,0,0,0,0,0,26,0
165,36428,0,8,33,0,1,1,0,0,0,1,53,0
166,25799,1,12,6,0,0,1,0,0,0,0,27,0
167,27094,0,7,27,0,0,1,0,0,0,1,50,1
168,33468,1,12,25,0,0,0,0,0,0,1,57,0
169,40397,0,7,37,0,0,0,1,0,0,1,50,0
170,21059,0,7,31,1,0,0,1,0,1,1,58,0
171,32224,1,9,21,0,1,0,0,0,0,0,38,0
172,31243,0,9,13,0,1,0,0,0,0,1,35,0
173,34922,0,9,29,0,1,0,0,0,0,1,45,0
174,28340,1,12,11,0,1,0,0,0,0,0,34,0
175,31625,1,10,22,0,1,0,0,0,0,1,40,0
176,16339,0,7,28,0,1,0,1,0,0,1,42,1
177,13415,0,11,33,0,1,0,0,0,0,1,60,1
178,36605,0,9,32,0,1,0,0,0,0,1,58,0
179,30318,0,10,15,0,1,0,0,0,0,0,30,0
180,33123,0,9,21,0,1,0,0,0,0,1,39,0
181,31687,1,9,19,0,1,0,0,0,0,1,45,0
182,35614,0,11,31,0,1,0,0,0,0,0,55,0
183,29104,1,8,12,0,0,1,0,0,0,0,30,0
184,28826,0,11,11,0,0,0,0,0,0,0,28,0
185,26912,1,10,9,0,0,0,1,0,0,0,26,0
186,10992,1,16,12,0,1,0,0,0,0,0,34,1
187,27483,1,10,16,1,1,0,0,1,0,1,32,0
188,12022,0,7,30,0,1,1,0,0,0,1,58,1
189,33083,1,9,24,0,1,0,0,0,0,0,42,0
190,3229,0,9,23,0,1,0,0,0,1,1,43,0
191,84713,1,21,14,0,1,0,0,0,0,0,46,0
192,34867,0,9,26,0,1,0,0,0,0,0,41,0
193,34664,1,7,20,0,1,0,1,0,0,1,35,0
194,36546,1,15,22,0,1,0,0,0,0,0,43,0
195,22660,0,10,19,0,0,0,0,1,0,0,40,1
196,26020,1,8,28,0,0,0,1,0,0,1,50,1
197,37672,0,15,13,0,1,0,1,0,0,1,39,0
198,13353,1,10,34,0,0,0,0,0,0,1,52,1
199,36840,0,16,10,0,0,0,0,0,0,0,33,0
200,34396,1,14,22,0,0,0,0,0,0,0,42,0
201,38116,0,9,36,0,1,0,0,0,0,1,59,0
202,32276,1,10,24,0,1,0,0,0,0,1,39,0
203,15597,0,7,33,0,1,0,1,0,0,1,51,1
204,33103,0,9,23,0,1,0,0,0,0,0,43,0
205,26805,0,9,35,0,0,0,0,0,0,1,58,1
206,21337,1,10,30,0,1,0,0,0,0,1,57,1
207,25937,1,11,14,0,1,0,0,0,0,0,39,1
208,30110,1,7,10,0,0,1,0,0,0,0,29,0
209,31885,1,9,20,0,1,0,0,0,0,0,34,0
210,30137,1,7,10,0,1,0,1,0,0,1,27,0
211,30239,1,13,14,0,1,0,0,0,0,0,33,0
212,28825,1,8,16,1,1,0,1,0,0,1,31,0
213,33261,0,14,37,1,1,0,1,0,0,1,58,1
214,31644,1,9,28,0,1,0,0,0,0,1,52,1
215,33891,1,12,27,0,1,0,0,0,0,1,45,0
216,29900,1,9,14,0,0,0,0,0,0,0,32,0
217,34648,0,11,28,0,0,0,0,0,0,1,50,0
218,11541,0,9,28,0,1,0,0,0,0,1,44,1
219,37309,1,9,37,0,0,0,0,0,0,1,55,0
220,29512,0,10,13,0,1,0,0,0,0,0,36,0
221,33333,0,10,25,0,1,0,0,0,0,1,47,0
222,35930,0,7,21,0,1,1,0,0,0,1,35,0
223,29721,0,12,14,0,1,0,0,0,0,0,32,0
224,27809,1,10,11,0,1,0,0,0,0,1,34,0
225,18688,0,9,40,0,0,0,0,0,0,1,56,1
226,39026,0,7,38,1,1,0,1,0,0,1,50,0
227,36889,1,7,29,0,1,1,0,0,0,1,57,0
228,34723,0,13,26,0,1,1,0,0,0,1,56,0
229,5809,0,9,20,0,1,0,0,0,1,0,36,0
230,53150,1,19,13,0,1,0,0,0,0,0,43,0
231,33797,0,7,20,0,1,1,0,0,0,0,35,0
232,10068,1,12,30,0,0,1,0,0,1,0,48,0
233,34491,0,9,25,0,0,0,0,0,0,1,43,0
234,32922,1,12,25,0,1,0,0,0,0,1,48,0
235,4794,1,9,26,0,1,0,0,0,1,1,55,0
236,32508,1,7,20,0,1,0,1,0,0,0,46,1
237,15612,0,16,12,0,1,0,0,0,0,1,40,1
238,33001,1,10,26,0,1,0,0,0,0,0,43,0
239,50769,1,17,34,0,0,0,1,0,0,0,58,0
240,37670,1,9,38,0,0,0,0,0,0,1,52,0
241,28541,1,9,16,0,0,0,0,0,0,1,42,1
242,5674,1,14,31,0,0,0,1,0,1,0,54,0
243,32259,0,10,24,0,1,1,0,0,0,1,41,0
244,31801,0,15,4,1,1,0,0,0,0,0,25,0
245,23871,0,9,13,0,1,0,0,0,0,0,27,1
246,28572,1,11,13,0,0,0,0,0,0,1,33,0
247,32221,0,10,21,0,0,0,0,1,0,1,43,0
248,32927,1,7,20,0,0,0,1,0,0,1,37,0
249,28520,0,10,10,0,1,0,0,0,0,0,31,0
250,31911,1,9,20,0,1,0,0,0,0,0,36,0
251,40797,0,16,16,0,1,0,0,1,0,0,41,0
252,13623,1,9,12,0,1,0,0,0,0,0,32,1
253,24182,0,9,21,0,0,0,1,0,0,1,49,1
254,34718,0,8,27,0,1,0,1,0,0,1,52,0
255,38239,0,7,29,0,0,1,0,0,0,1,58,0
256,9618,1,7,33,0,0,1,0,0,1,1,47,0
257,79637,0,21,18,0,1,0,0,0,0,0,50,0
258,19241,0,9,20,1,0,0,0,0,0,0,41,1
259,28099,1,7,23,0,0,1,0,0,0,0,50,1
260,52464,0,18,19,0,1,0,0,0,0,0,47,0
261,36350,0,12,32,0,1,0,0,1,0,1,53,0
262,16622,0,7,21,0,0,0,1,0,1,1,40,0
263,19627,1,9,14,0,0,0,0,0,0,1,38,1
264,33158,1,11,21,0,1,1,0,0,0,1,42,0
265,29732,0,9,11,0,1,0,0,0,0,1,27,0
266,31345,1,13,20,0,1,1,0,0,0,0,43,0
267,35880,1,7,25,0,1,1,0,0,0,1,46,0
268,44779,1,5,39,0,0,1,1,0,0,1,56,0
269,10147,0,7,26,0,0,0,1,0,1,0,42,0
270,9325,0,9,18,0,1,0,0,0,1,1,33,0
271,55877,0,18,28,0,1,0,0,0,0,1,60,0
272,30795,1,9,18,0,1,0,0,0,0,1,42,0
273,37691,0,9,35,0,1,0,0,0,0,1,52,0
274,35911,0,9,33,0,1,0,1,0,0,1,49,0
275,28791,1,10,14,0,1,0,0,0,0,0,30,0
276,16694,1,9,33,0,0,0,0,0,0,1,47,1
277,32870,0,9,20,0,1,0,0,0,0,1,37,0
278,33048,0,9,22,0,1,0,0,0,0,0,36,0
279,31537,0,7,13,1,0,0,1,0,0,1,33,0
280,38601,1,16,19,0,0,0,0,0,0,1,52,0
281,80342,1,21,23,0,1,0,0,0,0,0,49,0
282,32690,0,10,27,0,0,1,0,0,0,1,56,0
283,29310,0,9,19,0,1,0,0,0,0,0,34,1
284,27233,1,9,30,0,0,0,0,0,0,1,56,1
285,40660,0,17,7,0,1,0,0,0,0,0,33,0
286,27686,1,12,12,0,0,1,0,0,0,0,29,0
287,37468,1,14,28,0,1,0,0,0,0,1,60,0
288,20485,0,13,6,0,1,0,0,0,0,1,27,1
289,6523,0,9,11,0,1,0,0,0,1,1,31,0
290,34681,1,9,29,0,1,0,0,0,0,0,48,0
291,33148,0,7,12,0,1,0,1,0,0,0,25,0
292,63108,1,21,3,0,1,0,0,0,0,0,29,0
293,39624,0,15,28,0,1,0,0,0,0,0,48,0
294,39854,0,16,21,0,0,0,0,0,0,1,42,0
295,10279,1,9,23,0,1,0,0,0,1,0,42,0
296,33236,1,13,20,0,0,0,0,0,0,0,50,0
297,32513,0,10,22,0,1,0,0,0,0,1,52,0
298,23778,1,10,30,0,1,0,0,0,0,1,52,1
299,33754,0,10,26,0,1,0,0,0,0,1,44,0
300,32110,1,10,24,0,0,0,0,0,0,0,45,0
301,28116,0,19,24,0,0,1,0,0,1,1,50,0
302,31001,0,11,17,0,1,0,0,0,0,0,38,0
303,22646,1,12,24,0,1,0,0,0,0,1,53,1
304,21593,1,9,28,0,1,0,0,0,0,1,45,1
305,39035,0,16,20,0,1,0,0,0,0,1,41,0
306,43675,1,17,20,0,1,0,0,0,0,1,43,0
307,29228,1,9,12,0,0,0,0,0,0,1,27,0
308,36558,1,10,38,0,0,0,0,1,0,1,56,0
309,32316,1,9,23,0,1,0,0,0,0,0,50,0
310,50131,0,18,11,0,1,1,0,0,0,1,41,0
311,36466,0,9,32,0,1,0,0,0,0,0,46,0
312,22203,0,8,15,0,1,0,1,0,0,1,35,1
313,33069,0,13,18,0,1,0,0,0,0,1,45,0
314,29357,0,7,28,0,1,1,0,0,0,1,58,1
315,16127,0,9,30,0,1,0,0,0,0,0,50,1
316,34857,0,9,27,0,1,0,0,0,0,1,42,0
317,1054168,1,21,27,0,0,0,0,0,0,1,53,1
318,28491,1,10,12,0,1,0,0,0,0,0,28,0
319,30179,0,7,23,0,1,1,0,0,0,1,49,1
320,27978,0,11,20,0,0,0,0,1,0,1,44,1
321,26854,1,12,21,0,1,0,0,1,0,1,44,1
322,32916,0,9,20,0,1,0,0,0,0,1,40,0
323,16659,0,9,26,0,0,0,0,0,0,0,40,1
324,32194,0,8,43,0,1,0,1,0,0,1,57,1
325,39734,0,17,5,0,1,0,0,0,0,0,29,0
326,30402,0,9,11,0,1,0,0,0,0,0,27,0
327,36470,0,15,23,1,1,0,0,1,0,1,58,0
328,42441,1,16,30,0,0,0,0,0,0,0,56,0
329,33629,0,9,24,0,1,0,0,0,0,0,43,0
330,28379,0,11,9,0,1,0,0,0,0,0,26,0
331,63011,0,21,0,0,1,0,0,0,0,0,26,0
332,28615,1,10,13,0,1,0,0,0,0,0,32,0
333,30461,0,9,15,0,1,0,0,0,0,1,38,0
334,2138,0,9,24,0,1,0,0,0,1,1,45,0
335,11958,1,8,19,0,1,0,1,0,0,1,36,1
336,34040,1,9,32,0,0,0,0,0,0,1,56,1
337,29368,0,9,11,0,0,0,0,0,0,0,32,0
338,18697,0,15,11,0,1,0,0,0,0,1,32,1
339,28080,0,9,36,0,0,0,0,0,0,0,50,1
340,26676,1,9,15,0,0,0,0,0,0,0,29,1
341,15078,0,7,11,0,0,0,1,0,0,0,27,1
342,17169,0,10,24,0,1,0,0,0,0,0,50,1
343,31038,1,11,21,0,1,0,0,1,0,0,43,0
344,35056,0,9,27,0,0,0,0,0,0,0,47,0
345,30724,1,9,16,0,0,0,0,0,0,1,41,0
346,29012,0,10,11,0,1,0,0,0,0,0,32,0
347,32372,1,9,23,0,0,0,0,0,0,1,42,0
348,36833,0,10,36,0,1,0,0,0,0,0,51,0
349,28221,1,10,29,0,0,0,0,0,0,1,55,1
350,30085,1,10,21,0,1,1,0,0,0,0,43,0
351,38325,0,9,39,0,1,0,0,0,0,1,56,0
352,25036,1,10,9,0,1,0,0,0,0,1,25,1
353,29485,0,9,11,0,1,0,0,0,0,0,26,0
354,32844,1,9,24,0,1,0,0,0,0,0,50,0
355,42018,1,16,31,0,1,0,0,0,0,1,59,0
356,38395,0,11,42,0,0,0,1,0,0,1,59,0
357,23561,1,9,11,0,0,0,0,0,0,0,26,1
358,12334,1,7,12,0,0,0,1,0,1,0,29,0
359,28759,0,10,8,0,0,0,0,0,0,1,28,0
360,37369,1,9,38,0,1,0,0,0,0,1,54,0
361,37738,1,7,31,0,1,1,0,0,0,1,59,0
362,19514,0,9,17,0,1,0,0,0,1,0,37,0
363,37685,1,14,32,0,1,0,0,0,0,1,53,0
364,3283,0,8,24,0,0,1,0,0,1,1,43,0
365,33271,0,10,24,0,0,0,0,0,0,0,44,0
366,41000,1,15,30,0,1,0,0,0,0,0,56,0
367,15287,0,11,10,0,0,0,0,0,0,0,28,1
368,28711,1,9,10,0,1,0,0,0,0,0,28,0
369,29478,1,8,19,1,1,0,1,0,0,1,39,0
370,25225,0,10,9,0,0,0,0,0,0,0,26,1
371,30362,1,14,12,0,1,0,1,0,0,0,33,0
372,13559,1,9,24,0,1,0,0,0,0,0,43,1
373,67263,0,20,31,0,0,0,0,0,0,0,58,0
374,38692,1,7,34,0,1,1,0,0,0,1,56,0
375,32130,0,9,20,0,1,0,0,0,0,1,40,0
376,28069,0,9,17,1,0,1,1,0,0,1,37,0
377,44562,0,16,34,0,0,0,0,0,0,0,55,0
378,28793,1,9,12,0,1,0,0,0,0,0,31,0
379,30618,0,9,13,0,1,0,0,0,0,0,30,0
380,34671,1,15,15,0,1,0,0,0,0,1,38,0
381,14140,0,9,8,0,0,0,0,0,1,1,26,0
382,30317,1,10,20,0,1,0,0,0,0,1,39,1
383,16679,0,10,20,0,0,0,0,0,0,1,44,1
384,31589,0,9,16,0,1,0,0,0,0,0,35,0
385,16489,0,10,44,0,1,0,0,0,0,1,59,1
386,32842,1,7,36,0,1,1,0,0,0,1,51,1
387,37331,0,9,34,0,1,0,0,0,0,0,53,0
388,37513,0,9,35,0,1,0,0,0,0,1,53,0
389,29126,1,7,12,1,0,0,1,0,0,0,26,1
390,8743,0,19,22,0,0,0,1,0,1,0,60,0
391,22263,1,7,29,0,1,1,0,0,0,1,55,1
392,29625,1,12,14,0,1,0,0,0,0,1,38,0
393,29024,0,9,9,0,1,0,0,0,0,0,27,0
394,43174,1,16,35,0,1,0,0,0,0,0,60,0
395,68030,1,21,21,0,1,0,0,0,0,0,59,0
396,28472,1,10,13,0,0,0,0,0,0,1,29,0
397,28776,1,13,10,0,1,0,0,0,0,0,30,0
398,3836,1,10,10,0,1,0,0,0,1,0,25,0
399,30214,1,9,15,0,1,0,0,0,0,0,33,0
400,36356,1,9,34,0,1,0,0,0,0,1,51,0
401,4361,1,10,33,0,1,0,0,0,1,1,59,0
402,27516,1,11,9,0,0,0,0,0,0,1,25,0
403,38960,1,14,40,0,0,1,0,0,0,1,59,0
404,37000,1,16,15,0,0,0,0,0,0,0,37,0
405,39969,0,16,21,0,1,0,0,0,0,0,45,0
406,31112,0,9,15,0,1,0,0,0,0,1,39,0
407,38932,1,16,10,0,1,0,0,0,0,0,35,0
408,25595,1,9,9,0,0,0,0,0,0,0,28,1
409,24730,1,7,24,0,1,1,0,0,0,1,46,1
410,59508,0,19,27,0,1,1,0,0,0,0,53,1
411,21657,1,7,23,0,0,1,0,0,0,1,39,1
412,29384,0,9,10,0,1,0,0,0,0,0,29,1
413,14583,0,9,24,0,0,0,0,0,0,1,48,1
414,29474,0,9,9,0,1,0,0,0,0,0,26,0
415,18569,0,7,15,0,0,1,0,0,0,0,34,1
416,12117,1,7,30,0,1,0,1,0,0,1,46,1
417,41993,0,7,41,0,0,0,1,0,0,1,55,0
418,18804,1,9,20,0,1,0,0,0,0,1,35,1
419,1775,0,10,15,0,0,1,0,0,1,0,39,0
420,25143,0,9,24,0,0,0,0,0,0,1,49,1
421,26592,1,9,12,1,0,0,0,0,0,0,28,0
422,40483,1,16,25,0,0,0,0,0,0,0,58,0
423,29177,0,9,10,0,1,0,0,0,0,1,26,0
424,38183,1,7,29,0,0,0,1,0,0,0,43,0
425,30359,1,10,18,0,0,0,0,1,0,0,34,0
426,29097,0,13,4,0,1,0,0,0,0,0,25,0
427,29294,1,10,18,0,0,0,1,0,0,1,39,0
428,35989,1,15,14,0,0,0,0,0,0,0,35,0
429,31262,1,9,20,0,0,0,0,0,0,0,41,0
430,29379,0,11,15,0,1,0,0,0,0,0,31,1
431,18439,1,7,9,0,1,1,0,0,0,1,27,1
432,22787,0,9,24,0,1,0,0,0,1,1,51,0
433,45663,0,17,11,0,1,0,0,0,0,1,40,0
434,19434,0,7,32,0,0,0,1,0,0,1,60,1
435,32746,0,11,23,0,1,0,0,0,0,0,50,0
436,18698,1,7,27,1,0,0,1,0,0,0,46,1
437,35033,1,7,28,1,0,0,1,0,0,1,40,0
438,10753,1,11,7,0,1,0,0,0,1,0,26,0
439,29603,1,9,13,0,1,0,0,0,0,0,29,0
440,35178,0,16,5,0,1,0,0,0,0,0,27,0
441,68189,0,20,28,0,1,0,0,0,0,1,56,0
442,3240,0,7,18,0,0,1,0,0,1,1,33,0
443,30801,1,10,20,0,0,0,0,1,0,1,36,0
444,22826,1,8,40,0,0,0,1,0,0,1,56,1
445,32842,1,14,13,0,1,0,0,0,0,0,39,0
446,37956,1,7,36,1,1,0,1,0,0,1,57,0
447,31502,0,18,14,0,1,0,0,0,0,1,38,1
448,40154,1,15,29,0,1,1,0,0,0,0,53,0
449,17375,0,9,27,0,1,0,0,0,0,1,43,1
450,73256,1,21,12,0,1,0,0,0,0,0,45,0
451,31044,1,12,20,0,1,0,0,0,0,0,42,0
452,28559,1,10,13,0,1,0,0,1,0,0,31,0
453,27089,1,11,12,1,1,0,1,0,0,1,30,0
454,27898,1,10,10,0,1,0,0,1,0,0,31,0
455,12589,1,7,28,0,0,1,0,0,1,0,41,0
456,19462,0,9,25,0,0,0,1,0,0,1,51,1
457,35128,0,16,4,0,1,0,0,0,0,0,27,0
458,28043,1,9,8,0,0,0,0,0,0,0,25,0
459,7510,0,9,23,0,0,0,0,0,1,0,47,0
460,30907,0,9,15,0,1,0,0,0,0,1,39,0
461,11927,1,7,24,0,1,1,0,0,0,1,51,1
462,32519,1,14,17,0,1,0,1,0,0,1,37,0
463,112868,0,22,12,0,1,0,0,1,0,0,39,0
464,30024,0,9,13,0,0,0,0,0,0,0,34,0
465,32567,0,11,23,0,1,0,0,1,0,0,39,0
466,41329,0,16,23,0,0,0,0,0,0,0,44,0
467,29415,1,9,14,0,0,0,0,0,0,0,29,0
468,17917,1,7,26,0,0,0,1,0,1,1,55,0
469,33562,1,14,17,0,1,0,0,0,0,1,46,0
470,34931,0,9,26,0,1,0,0,0,0,1,57,0
471,37271,1,10,40,0,1,0,0,0,0,1,56,0
472,34646,1,13,28,0,1,0,0,1,0,1,51,0
473,32273,1,7,13,0,0,0,1,0,0,0,30,0
474,33483,0,9,23,0,0,0,0,0,0,1,52,0
475,33229,1,9,25,0,1,0,0,0,0,0,50,0
476,35137,1,5,19,0,0,1,1,0,0,1,30,1
477,118366,0,19,23,0,1,1,0,0,0,1,60,0
478,31065,0,11,15,0,1,0,0,0,0,1,32,0
479,46940,1,9,37,0,1,0,0,0,0,1,59,0
