year,origin,destin,id,dist,passen,fare,bmktshr
2000,"ALBUQUERQUE, NM","PHOENIX, AZ",24,328,1454,68,.82539999
1997,"ALBUQUERQUE, NM","PORTLAND, OR",25,1113,189,144,.3193
1998,"ALBUQUERQUE, NM","PORTLAND, OR",25,1113,170,151,.2922
1999,"ALBUQUERQUE, NM","PORTLAND, OR",25,1113,187,153,.3057
2000,"ALBUQUERQUE, NM","PORTLAND, OR",25,1113,208,156,.3159
1997,"ALBUQUERQUE, NM","SALT LAKE CITY, UT",26,494,209,112,.65309995
1998,"ALBUQUERQUE, NM","SALT LAKE CITY, UT",26,494,193,120,.70859998
1999,"ALBUQUERQUE, NM","SALT LAKE CITY, UT",26,494,176,124,.50340003
2000,"ALBUQUERQUE, NM","SALT LAKE CITY, UT",26,494,167,124,.50980002
1997,"ALBUQUERQUE, NM","SAN ANTONIO, TX",27,610,183,137,.73730004
1998,"ALBUQUERQUE, NM","SAN ANTONIO, TX",27,610,167,150,.75
1999,"ALBUQUERQUE, NM","SAN ANTONIO, TX",27,610,177,144,.60600001
2000,"ALBUQUERQUE, NM","SAN ANTONIO, TX",27,610,182,158,.75339997
1997,"ALBUQUERQUE, NM","SAN DIEGO, CA",28,628,368,109,.84449995
1998,"ALBUQUERQUE, NM","SAN DIEGO, CA",28,628,374,113,.7525
1999,"ALBUQUERQUE, NM","SAN DIEGO, CA",28,628,369,124,.8114
2000,"ALBUQUERQUE, NM","SAN DIEGO, CA",28,628,370,133,.83899999
1997,"ALBUQUERQUE, NM","SAN FRANCISCO, CA",29,897,456,133,.68769997
1998,"ALBUQUERQUE, NM","SAN FRANCISCO, CA",29,897,315,133,.42320001
1999,"ALBUQUERQUE, NM","SAN FRANCISCO, CA",29,897,212,143,.34549999
2000,"ALBUQUERQUE, NM","SAN FRANCISCO, CA",29,897,202,146,.345
1997,"ALBUQUERQUE, NM","SAN JOSE, CA",30,871,224,136,.54680002
1998,"ALBUQUERQUE, NM","SAN JOSE, CA",30,871,199,149,.56470001
1999,"ALBUQUERQUE, NM","SAN JOSE, CA",30,871,206,151,.57690001
2000,"ALBUQUERQUE, NM","SAN JOSE, CA",30,871,205,155,.61629999
1997,"ALBUQUERQUE, NM","SEATTLE, WA",31,1181,252,149,.29639998
1998,"ALBUQUERQUE, NM","SEATTLE, WA",31,1181,261,146,.35080001
1999,"ALBUQUERQUE, NM","SEATTLE, WA",31,1181,284,150,.48389998
2000,"ALBUQUERQUE, NM","SEATTLE, WA",31,1181,288,156,.49169999
1997,"ALBUQUERQUE, NM","ST. LOUIS, MO",32,935,150,132,.62159997
1998,"ALBUQUERQUE, NM","ST. LOUIS, MO",32,935,164,149,.6753
1999,"ALBUQUERQUE, NM","ST. LOUIS, MO",32,935,158,150,.59119999
2000,"ALBUQUERQUE, NM","ST. LOUIS, MO",32,935,165,156,.56870002
1997,"ALBUQUERQUE, NM","WASHINGTON, DC",33,1648,411,183,.3682
1998,"ALBUQUERQUE, NM","WASHINGTON, DC",33,1648,395,173,.35830003
1999,"ALBUQUERQUE, NM","WASHINGTON, DC",33,1648,390,196,.29319999
2000,"ALBUQUERQUE, NM","WASHINGTON, DC",33,1648,337,226,.4041
1997,"ALLENTOWN, PA","CHICAGO, IL",34,655,157,274,.8678
1998,"ALLENTOWN, PA","CHICAGO, IL",34,655,156,245,.89099997
1999,"ALLENTOWN, PA","CHICAGO, IL",34,655,131,270,.84559995
2000,"ALLENTOWN, PA","CHICAGO, IL",34,655,138,295,.83489996
1997,"ALLENTOWN, PA","ORLANDO, FL",35,907,346,111,.52529997
1998,"ALLENTOWN, PA","ORLANDO, FL",35,907,222,115,.62419999
1999,"ALLENTOWN, PA","ORLANDO, FL",35,907,407,114,.48529997
2000,"ALLENTOWN, PA","ORLANDO, FL",35,907,490,118,.57080001
1997,"AMARILLO, TX","AUSTIN, TX",36,412,151,109,.89899999
1998,"AMARILLO, TX","AUSTIN, TX",36,412,141,119,.88789999
1999,"AMARILLO, TX","AUSTIN, TX",36,412,148,118,.88749999
2000,"AMARILLO, TX","AUSTIN, TX",36,412,147,122,.88349998
1997,"AMARILLO, TX","DALLAS, TX",37,324,816,67,.73000002
1998,"AMARILLO, TX","DALLAS, TX",37,324,785,70,.71760005
1999,"AMARILLO, TX","DALLAS, TX",37,324,776,70,.77309996
2000,"AMARILLO, TX","DALLAS, TX",37,324,729,72,.77149999
1997,"AMARILLO, TX","HOUSTON, TX",38,535,242,110,.88769996
1998,"AMARILLO, TX","HOUSTON, TX",38,535,244,117,.66500002
1999,"AMARILLO, TX","HOUSTON, TX",38,535,256,115,.66640002
2000,"AMARILLO, TX","HOUSTON, TX",38,535,272,121,.59179997
1997,"AMARILLO, TX","LAS VEGAS, NV",39,759,157,98,.97290003
1998,"AMARILLO, TX","LAS VEGAS, NV",39,759,159,117,.96709996
1999,"AMARILLO, TX","LAS VEGAS, NV",39,759,169,117,.98070002
2000,"AMARILLO, TX","LAS VEGAS, NV",39,759,161,124,.95609999
1997,"ASPEN, CO","DENVER, CO",40,125,102,123,.91070002
1998,"ASPEN, CO","DENVER, CO",40,125,101,127,.90550005
1999,"ASPEN, CO","DENVER, CO",40,125,101,130,.9989
2000,"ASPEN, CO","DENVER, CO",40,125,87,158,.99620003
1997,"ATLANTA, GA","AUSTIN, TX",41,812,318,207,.7507
1998,"ATLANTA, GA","AUSTIN, TX",41,812,349,207,.74809998
1999,"ATLANTA, GA","AUSTIN, TX",41,812,375,224,.7374
2000,"ATLANTA, GA","AUSTIN, TX",41,812,415,248,.68970001
1997,"ATLANTA, GA","BALTIMORE, MD",42,576,1065,167,.6135
1998,"ATLANTA, GA","BALTIMORE, MD",42,576,837,189,.90109998
1999,"ATLANTA, GA","BALTIMORE, MD",42,576,1187,132,.71219999
2000,"ATLANTA, GA","BALTIMORE, MD",42,576,1268,173,.61619997
1997,"ATLANTA, GA","BATON ROUGE, LA",43,449,155,173,.90079999
1998,"ATLANTA, GA","BATON ROUGE, LA",43,449,178,152,.90580004
1999,"ATLANTA, GA","BATON ROUGE, LA",43,449,183,143,.93309999
2000,"ATLANTA, GA","BATON ROUGE, LA",43,449,156,185,.921
1997,"ATLANTA, GA","BOSTON, MA",44,946,1622,237,.71730006
1998,"ATLANTA, GA","BOSTON, MA",44,946,1981,163,.7888
1999,"ATLANTA, GA","BOSTON, MA",44,946,2421,134,.7076
2000,"ATLANTA, GA","BOSTON, MA",44,946,2188,177,.74870002
1997,"ATLANTA, GA","BUFFALO, NY",45,712,252,185,.82949996
1998,"ATLANTA, GA","BUFFALO, NY",45,712,410,119,.58450001
1999,"ATLANTA, GA","BUFFALO, NY",45,712,561,100,.54330003
2000,"ATLANTA, GA","BUFFALO, NY",45,712,547,115,.50870001
1997,"ATLANTA, GA","CHARLESTON, SC",46,259,241,178,.9526
1998,"ATLANTA, GA","CHARLESTON, SC",46,259,250,178,.95910001
1999,"ATLANTA, GA","CHARLESTON, SC",46,259,232,205,.96539998
2000,"ATLANTA, GA","CHARLESTON, SC",46,259,206,218,.96139997
1997,"ATLANTA, GA","CHARLOTTE, NC",47,227,783,123,.55229998
1998,"ATLANTA, GA","CHARLOTTE, NC",47,227,633,183,.68529999
1999,"ATLANTA, GA","CHARLOTTE, NC",47,227,554,211,.70239997
2000,"ATLANTA, GA","CHARLOTTE, NC",47,227,513,250,.6904
1997,"ATLANTA, GA","CHICAGO, IL",48,605,3369,125,.45669997
1998,"ATLANTA, GA","CHICAGO, IL",48,605,3826,123,.46080002
1999,"ATLANTA, GA","CHICAGO, IL",48,605,3599,133,.49150002
2000,"ATLANTA, GA","CHICAGO, IL",48,605,3415,173,.45919999
1997,"ATLANTA, GA","CINCINNATI, OH",49,373,400,269,.95519996
1998,"ATLANTA, GA","CINCINNATI, OH",49,373,454,229,.96769994
1999,"ATLANTA, GA","CINCINNATI, OH",49,373,410,252,.95949996
2000,"ATLANTA, GA","CINCINNATI, OH",49,373,508,216,.95679998
1997,"ATLANTA, GA","CLEVELAND, OH",50,554,857,121,.5072
1998,"ATLANTA, GA","CLEVELAND, OH",50,554,714,153,.51950002
1999,"ATLANTA, GA","CLEVELAND, OH",50,554,683,184,.48630002
2000,"ATLANTA, GA","CLEVELAND, OH",50,554,616,197,.53670001
1997,"ATLANTA, GA","CO SPRINGS, CO",51,1186,186,174,.72350001
1998,"ATLANTA, GA","CO SPRINGS, CO",51,1186,132,237,.66800004
1999,"ATLANTA, GA","CO SPRINGS, CO",51,1186,151,210,.61439997
2000,"ATLANTA, GA","CO SPRINGS, CO",51,1186,170,205,.73280001
1997,"ATLANTA, GA","COLUMBIA, SC",52,191,129,209,.9806
1998,"ATLANTA, GA","COLUMBIA, SC",52,191,110,221,.9763
1999,"ATLANTA, GA","COLUMBIA, SC",52,191,94,231,.98040003
2000,"ATLANTA, GA","COLUMBIA, SC",52,191,78,259,.96769994
1997,"ATLANTA, GA","COLUMBUS, OH",53,446,582,165,.88999999
1998,"ATLANTA, GA","COLUMBUS, OH",53,446,523,179,.93989998
1999,"ATLANTA, GA","COLUMBUS, OH",53,446,483,200,.91120005
2000,"ATLANTA, GA","COLUMBUS, OH",53,446,450,206,.86470002
1997,"ATLANTA, GA","DALLAS, TX",54,732,2621,133,.51359999
1998,"ATLANTA, GA","DALLAS, TX",54,732,2683,144,.47580001
1999,"ATLANTA, GA","DALLAS, TX",54,732,2709,143,.48529997
2000,"ATLANTA, GA","DALLAS, TX",54,732,2644,189,.47679999
1997,"ATLANTA, GA","DAYTON, OH",55,432,280,190,.91110003
1998,"ATLANTA, GA","DAYTON, OH",55,432,521,112,.68309999
1999,"ATLANTA, GA","DAYTON, OH",55,432,584,119,.65940005
2000,"ATLANTA, GA","DAYTON, OH",55,432,642,116,.6275
1997,"ATLANTA, GA","DENVER, CO",56,1199,1154,168,.4066
1998,"ATLANTA, GA","DENVER, CO",56,1199,1059,254,.40959999
1999,"ATLANTA, GA","DENVER, CO",56,1199,1158,215,.40330002
2000,"ATLANTA, GA","DENVER, CO",56,1199,1303,221,.49130002
1997,"ATLANTA, GA","DETROIT, MI",57,594,1252,120,.52160001
1998,"ATLANTA, GA","DETROIT, MI",57,594,1421,109,.4788
1999,"ATLANTA, GA","DETROIT, MI",57,594,1549,115,.47589999
2000,"ATLANTA, GA","DETROIT, MI",57,594,1415,132,.49090001
1997,"ATLANTA, GA","FLINT, MI",58,644,115,110,.75660002
1998,"ATLANTA, GA","FLINT, MI",58,644,188,102,.85430002
1999,"ATLANTA, GA","FLINT, MI",58,644,174,110,.87339997
2000,"ATLANTA, GA","FLINT, MI",58,644,184,124,.83589995
1997,"ATLANTA, GA","FT. LAUDERDALE, FL",59,581,1694,120,.78290004
1998,"ATLANTA, GA","FT. LAUDERDALE, FL",59,581,1644,114,.73390001
1999,"ATLANTA, GA","FT. LAUDERDALE, FL",59,581,1588,126,.74339998
2000,"ATLANTA, GA","FT. LAUDERDALE, FL",59,581,1653,137,.71720004
1997,"ATLANTA, GA","FT. MYERS, FL",60,515,376,121,.80809999
1998,"ATLANTA, GA","FT. MYERS, FL",60,515,425,112,.72500002
1999,"ATLANTA, GA","FT. MYERS, FL",60,515,420,127,.68239999
2000,"ATLANTA, GA","FT. MYERS, FL",60,515,460,127,.72540003
1997,"ATLANTA, GA","GREENSBORO, NC",61,306,325,224,.91470003
1998,"ATLANTA, GA","GREENSBORO, NC",61,306,551,128,.75160003
1999,"ATLANTA, GA","GREENSBORO, NC",61,306,682,101,.71300006
2000,"ATLANTA, GA","GREENSBORO, NC",61,306,710,110,.66500002
1997,"ATLANTA, GA","HARTFORD, CT",62,859,533,249,.82139999
1998,"ATLANTA, GA","HARTFORD, CT",62,859,874,129,.75089997
1999,"ATLANTA, GA","HARTFORD, CT",62,859,918,131,.8211
2000,"ATLANTA, GA","HARTFORD, CT",62,859,759,197,.81620002
1997,"ATLANTA, GA","HOUSTON, TX",63,692,1352,123,.48109999
1998,"ATLANTA, GA","HOUSTON, TX",63,692,1441,126,.42390001
1999,"ATLANTA, GA","HOUSTON, TX",63,692,1518,133,.4878
2000,"ATLANTA, GA","HOUSTON, TX",63,692,1554,151,.45279998
1997,"ATLANTA, GA","INDIANAPOLIS, IN",64,432,442,206,.82099998
1998,"ATLANTA, GA","INDIANAPOLIS, IN",64,432,491,199,.85580003
1999,"ATLANTA, GA","INDIANAPOLIS, IN",64,432,456,214,.84489995
2000,"ATLANTA, GA","INDIANAPOLIS, IN",64,432,434,235,.82690001
1997,"ATLANTA, GA","JACKSON, MS",65,341,198,237,.94349998
1998,"ATLANTA, GA","JACKSON, MS",65,341,194,234,.9619
1999,"ATLANTA, GA","JACKSON, MS",65,341,201,247,.97029996
2000,"ATLANTA, GA","JACKSON, MS",65,341,176,269,.95679998
1997,"ATLANTA, GA","JACKSONVILLE, FL",66,270,885,98,.85120004
1998,"ATLANTA, GA","JACKSONVILLE, FL",66,270,1027,93,.72780001
1999,"ATLANTA, GA","JACKSONVILLE, FL",66,270,1032,94,.76429999
2000,"ATLANTA, GA","JACKSONVILLE, FL",66,270,955,119,.70779997
1997,"ATLANTA, GA","KANSAS CITY, MO",67,693,887,114,.74669999
1998,"ATLANTA, GA","KANSAS CITY, MO",67,693,799,162,.67800003
1999,"ATLANTA, GA","KANSAS CITY, MO",67,693,930,135,.75040001
2000,"ATLANTA, GA","KANSAS CITY, MO",67,693,808,168,.63669997
1997,"ATLANTA, GA","LAS VEGAS, NV",68,1747,721,181,.68059999
1998,"ATLANTA, GA","LAS VEGAS, NV",68,1747,688,217,.67650002
1999,"ATLANTA, GA","LAS VEGAS, NV",68,1747,715,237,.59850001
2000,"ATLANTA, GA","LAS VEGAS, NV",68,1747,816,221,.67519999
1997,"ATLANTA, GA","LEXINGTON/FRANKFORT, KY",69,303,179,156,.83209997
1998,"ATLANTA, GA","LEXINGTON/FRANKFORT, KY",69,303,133,204,.991
1999,"ATLANTA, GA","LEXINGTON/FRANKFORT, KY",69,303,121,232,.98110002
2000,"ATLANTA, GA","LEXINGTON/FRANKFORT, KY",69,303,127,232,.98290002
1997,"ATLANTA, GA","LITTLE ROCK, AR",70,453,216,184,.85110003
1998,"ATLANTA, GA","LITTLE ROCK, AR",70,453,219,189,.92699999
1999,"ATLANTA, GA","LITTLE ROCK, AR",70,453,201,221,.90330005
2000,"ATLANTA, GA","LITTLE ROCK, AR",70,453,207,226,.88519996
1997,"ATLANTA, GA","LOS ANGELES, CA",71,1946,1520,257,.60600001
1998,"ATLANTA, GA","LOS ANGELES, CA",71,1946,1441,279,.64989996
1999,"ATLANTA, GA","LOS ANGELES, CA",71,1946,1440,293,.55790001
2000,"ATLANTA, GA","LOS ANGELES, CA",71,1946,1537,301,.63690001
1997,"ATLANTA, GA","LOUISVILLE, KY",72,321,445,152,.89579999
1998,"ATLANTA, GA","LOUISVILLE, KY",72,321,370,186,.97710001
1999,"ATLANTA, GA","LOUISVILLE, KY",72,321,309,244,.96139997
2000,"ATLANTA, GA","LOUISVILLE, KY",72,321,272,272,.9508
1997,"ATLANTA, GA","MEMPHIS, TN",73,332,1142,88,.66600001
1998,"ATLANTA, GA","MEMPHIS, TN",73,332,1246,85,.61299998
1999,"ATLANTA, GA","MEMPHIS, TN",73,332,1173,97,.66540003
2000,"ATLANTA, GA","MEMPHIS, TN",73,332,1120,106,.58819997
1997,"ATLANTA, GA","MIAMI, FL",74,595,816,179,.57959998
1998,"ATLANTA, GA","MIAMI, FL",74,595,1513,109,.53029996
1999,"ATLANTA, GA","MIAMI, FL",74,595,1566,121,.53060001
2000,"ATLANTA, GA","MIAMI, FL",74,595,1591,134,.57590002
1997,"ATLANTA, GA","MILWAUKEE, WI",75,669,366,207,.428
1998,"ATLANTA, GA","MILWAUKEE, WI",75,669,326,208,.47779998
1999,"ATLANTA, GA","MILWAUKEE, WI",75,669,394,198,.54259998
2000,"ATLANTA, GA","MILWAUKEE, WI",75,669,401,208,.5352
1997,"ATLANTA, GA","MINNEAPOLIS, MN",76,906,908,215,.48290002
1998,"ATLANTA, GA","MINNEAPOLIS, MN",76,906,963,200,.4993
1999,"ATLANTA, GA","MINNEAPOLIS, MN",76,906,1068,200,.48109999
2000,"ATLANTA, GA","MINNEAPOLIS, MN",76,906,1192,141,.546
1997,"ATLANTA, GA","MOBILE, AL",77,302,290,110,.81199998
1998,"ATLANTA, GA","MOBILE, AL",77,302,231,158,.98260003
1999,"ATLANTA, GA","MOBILE, AL",77,302,208,159,.98750001
2000,"ATLANTA, GA","MOBILE, AL",77,302,176,165,.98890001
1997,"ATLANTA, GA","NASHVILLE, TN",78,214,357,249,.98480004
1998,"ATLANTA, GA","NASHVILLE, TN",78,214,349,241,.98790002
1999,"ATLANTA, GA","NASHVILLE, TN",78,214,312,253,.99230003
2000,"ATLANTA, GA","NASHVILLE, TN",78,214,303,274,.991
1997,"ATLANTA, GA","NEW ORLEANS, LA",79,425,922,103,.8294
1998,"ATLANTA, GA","NEW ORLEANS, LA",79,425,1096,102,.77919996
1999,"ATLANTA, GA","NEW ORLEANS, LA",79,425,1076,110,.72660005
2000,"ATLANTA, GA","NEW ORLEANS, LA",79,425,998,131,.6656
1997,"ATLANTA, GA","NEW YORK, NY",80,756,5083,206,.55290002
1998,"ATLANTA, GA","NEW YORK, NY",80,756,6172,162,.59069997
1999,"ATLANTA, GA","NEW YORK, NY",80,756,6793,160,.64989996
2000,"ATLANTA, GA","NEW YORK, NY",80,756,6768,168,.62269998
1997,"ATLANTA, GA","NEWPORT NEWS/WMSBURG, VA",81,508,144,106,.91550004
1998,"ATLANTA, GA","NEWPORT NEWS/WMSBURG, VA",81,508,188,86,.94800001
1999,"ATLANTA, GA","NEWPORT NEWS/WMSBURG, VA",81,508,254,84,.95249999
2000,"ATLANTA, GA","NEWPORT NEWS/WMSBURG, VA",81,508,272,107,.95999998
1997,"ATLANTA, GA","NORFOLK, VA",82,516,401,145,.91290003
1998,"ATLANTA, GA","NORFOLK, VA",82,516,472,106,.9357
1999,"ATLANTA, GA","NORFOLK, VA",82,516,535,100,.91440004
2000,"ATLANTA, GA","NORFOLK, VA",82,516,439,132,.91420001
1997,"ATLANTA, GA","OKLAHOMA CITY, OK",83,761,204,193,.73320001
1998,"ATLANTA, GA","OKLAHOMA CITY, OK",83,761,249,177,.78510004
1999,"ATLANTA, GA","OKLAHOMA CITY, OK",83,761,218,206,.75879997
2000,"ATLANTA, GA","OKLAHOMA CITY, OK",83,761,254,204,.71620005
1997,"ATLANTA, GA","OMAHA, NE",84,822,185,222,.66370004
1998,"ATLANTA, GA","OMAHA, NE",84,822,229,214,.73589998
1999,"ATLANTA, GA","OMAHA, NE",84,822,206,224,.72980005
2000,"ATLANTA, GA","OMAHA, NE",84,822,205,232,.71830004
1997,"ATLANTA, GA","ONTARIO, CA",85,1902,183,274,.59689999
1998,"ATLANTA, GA","ONTARIO, CA",85,1902,216,265,.6081
1999,"ATLANTA, GA","ONTARIO, CA",85,1902,267,236,.39349997
2000,"ATLANTA, GA","ONTARIO, CA",85,1902,221,286,.53250003
1997,"ATLANTA, GA","ORLANDO, FL",86,403,1700,112,.81989998
1998,"ATLANTA, GA","ORLANDO, FL",86,403,2011,113,.75959998
1999,"ATLANTA, GA","ORLANDO, FL",86,403,1943,125,.6749
2000,"ATLANTA, GA","ORLANDO, FL",86,403,1982,133,.65849996
1997,"ATLANTA, GA","PHILADELPHIA, PA",87,665,2047,130,.57419997
1998,"ATLANTA, GA","PHILADELPHIA, PA",87,665,2129,125,.52929997
1999,"ATLANTA, GA","PHILADELPHIA, PA",87,665,2251,121,.6099
2000,"ATLANTA, GA","PHILADELPHIA, PA",87,665,2318,129,.58770001
1997,"ATLANTA, GA","PHOENIX, AZ",88,1587,710,259,.56580001
1998,"ATLANTA, GA","PHOENIX, AZ",88,1587,674,275,.62770003
1999,"ATLANTA, GA","PHOENIX, AZ",88,1587,683,295,.58099997
2000,"ATLANTA, GA","PHOENIX, AZ",88,1587,716,284,.60509998
1997,"ATLANTA, GA","PITTSBURGH, PA",89,526,527,216,.5133
1998,"ATLANTA, GA","PITTSBURGH, PA",89,526,580,214,.528
