Date,state,LaborForce,UnemploymentRate
2000-02-01,West Virginia,808465,5.6
2000-02-01,Wisconsin,2963260,3.2
2000-02-01,Wyoming,265306,3.9
2000-03-01,Alabama,2140697,4.6
2000-03-01,Alaska,319291,6.3
2000-03-01,Arizona,2503992,4
2000-03-01,Arkansas,1264912,4.3
2000-03-01,California,16778343,5
2000-03-01,Colorado,2357991,2.7
2000-03-01,Connecticut,1768741,2.6
2000-03-01,Delaware,408297,3.6
2000-03-01,Florida,7807619,3.7
2000-03-01,Georgia,4213192,3.6
2000-03-01,Hawaii,606226,4.5
2000-03-01,Idaho,656194,4.6
2000-03-01,Illinois,6517873,4.3
2000-03-01,Indiana,3141711,3.3
2000-03-01,Iowa,1588624,2.4
2000-03-01,Kansas,1417157,3.5
2000-03-01,Kentucky,1968494,4.1
2000-03-01,Louisiana,2044981,5.1
2000-03-01,Maine,681964,3.5
2000-03-01,Maryland,2791844,3.5
2000-03-01,Massachusetts,3335178,2.8
2000-03-01,Michigan,5170682,3.2
2000-03-01,Minnesota,2799169,3
2000-03-01,Mississippi,1324176,5.5
2000-03-01,Missouri,2946114,3.3
2000-03-01,Montana,468063,5
2000-03-01,Nebraska,944246,2.8
2000-03-01,Nevada,1051389,4
2000-03-01,New Hampshire,684572,2.7
2000-03-01,New Mexico,841358,4.9
2000-03-01,New York,9149949,4.6
2000-03-01,New jersey,4291454,3.6
2000-03-01,North Carolina,4120718,3.4
2000-03-01,North Dakota,341752,3
2000-03-01,Ohio,5793337,4
2000-03-01,Oklahoma,1660590,3.1
2000-03-01,Oregon,1818372,5
2000-03-01,Pennsylvania,6094109,4
2000-03-01,Rhode island,543164,4
2000-03-01,South Carolina,1997123,3.8
2000-03-01,South Dakota,409423,2.4
2000-03-01,Tennessee,2851026,3.8
2000-03-01,Texas,10368180,4.5
2000-03-01,Utah,1133369,3.1
2000-03-01,Vermont,329949,2.6
2000-03-01,Virginia,3597995,2.4
2000-03-01,Washington,3073238,5
2000-03-01,West Virginia,808690,5.5
2000-03-01,Wisconsin,2966094,3.3
2000-03-01,Wyoming,265592,3.9
2000-04-01,Alabama,2138178,4.6
2000-04-01,Alaska,319477,6.3
2000-04-01,Arizona,2503989,4
2000-04-01,Arkansas,1263822,4.3
2000-04-01,California,16815943,5.1
2000-04-01,Colorado,2358321,2.7
2000-04-01,Connecticut,1767722,2.5
2000-04-01,Delaware,410055,3.7
2000-04-01,Florida,7821650,3.7
2000-04-01,Georgia,4219262,3.7
2000-04-01,Hawaii,605946,4.4
2000-04-01,Idaho,657235,4.6
2000-04-01,Illinois,6513433,4.3
2000-04-01,Indiana,3139239,3.3
2000-04-01,Iowa,1587319,2.5
2000-04-01,Kansas,1414679,3.5
2000-04-01,Kentucky,1967218,4.1
2000-04-01,Louisiana,2042237,5.1
2000-04-01,Maine,681675,3.4
2000-04-01,Maryland,2795579,3.5
2000-04-01,Massachusetts,3329579,2.7
2000-04-01,Michigan,5170777,3.3
2000-04-01,Minnesota,2802390,3
2000-04-01,Mississippi,1325943,5.6
2000-04-01,Missouri,2947684,3.3
2000-04-01,Montana,468226,5
2000-04-01,Nebraska,944725,2.8
2000-04-01,Nevada,1055413,4
2000-04-01,New Hampshire,685841,2.7
2000-04-01,New Mexico,842276,4.9
2000-04-01,New York,9145145,4.6
2000-04-01,New jersey,4288575,3.6
2000-04-01,North Carolina,4127403,3.4
2000-04-01,North Dakota,341804,2.9
2000-04-01,Ohio,5792129,4
2000-04-01,Oklahoma,1659997,3.1
2000-04-01,Oregon,1820366,5
2000-04-01,Pennsylvania,6096691,4
2000-04-01,Rhode island,543522,4
2000-04-01,South Carolina,1997774,3.7
2000-04-01,South Dakota,409173,2.4
2000-04-01,Tennessee,2848175,3.8
2000-04-01,Texas,10366277,4.4
2000-04-01,Utah,1135920,3.1
2000-04-01,Vermont,330367,2.7
2000-04-01,Virginia,3598633,2.4
2000-04-01,Washington,3069974,5
2000-04-01,West Virginia,808769,5.4
2000-04-01,Wisconsin,2968701,3.4
2000-04-01,Wyoming,265906,3.8
2000-05-01,Alabama,2135307,4.5
2000-05-01,Alaska,319659,6.3
2000-05-01,Arizona,2503461,4
2000-05-01,Arkansas,1262136,4.2
2000-05-01,California,16844925,5.1
2000-05-01,Colorado,2357978,2.7
2000-05-01,Connecticut,1766345,2.4
2000-05-01,Delaware,411779,3.7
2000-05-01,Florida,7833369,3.7
2000-05-01,Georgia,4223636,3.7
2000-05-01,Hawaii,605553,4.3
2000-05-01,Idaho,658198,4.6
2000-05-01,Illinois,6506021,4.3
2000-05-01,Indiana,3134814,3.3
2000-05-01,Iowa,1586186,2.5
2000-05-01,Kansas,1411553,3.5
2000-05-01,Kentucky,1965116,4.1
2000-05-01,Louisiana,2037977,5.1
2000-05-01,Maine,680794,3.3
2000-05-01,Maryland,2798681,3.6
2000-05-01,Massachusetts,3324450,2.6
2000-05-01,Michigan,5168601,3.5
2000-05-01,Minnesota,2805323,3
2000-05-01,Mississippi,1325942,5.6
2000-05-01,Missouri,2948096,3.3
2000-05-01,Montana,468200,5
2000-05-01,Nebraska,944948,2.8
2000-05-01,Nevada,1059666,4
2000-05-01,New Hampshire,686928,2.7
2000-05-01,New Mexico,843255,4.9
2000-05-01,New York,9136838,4.6
2000-05-01,New jersey,4284575,3.6
2000-05-01,North Carolina,4133490,3.5
2000-05-01,North Dakota,341975,2.9
2000-05-01,Ohio,5789756,4.1
2000-05-01,Oklahoma,1659582,3.1
2000-05-01,Oregon,1821537,5.1
2000-05-01,Pennsylvania,6098600,4
2000-05-01,Rhode island,543780,4.1
2000-05-01,South Carolina,1997557,3.8
2000-05-01,South Dakota,408782,2.4
2000-05-01,Tennessee,2844087,3.9
2000-05-01,Texas,10360899,4.3
2000-05-01,Utah,1138332,3.2
2000-05-01,Vermont,330799,2.7
2000-05-01,Virginia,3597365,2.3
2000-05-01,Washington,3065479,5.1
2000-05-01,West Virginia,808649,5.4
2000-05-01,Wisconsin,2970767,3.5
2000-05-01,Wyoming,266236,3.8
2000-06-01,Alabama,2132623,4.5
2000-06-01,Alaska,319766,6.4
2000-06-01,Arizona,2502998,4
2000-06-01,Arkansas,1260089,4.2
2000-06-01,California,16866287,5.1
2000-06-01,Colorado,2357302,2.8
2000-06-01,Connecticut,1764692,2.3
2000-06-01,Delaware,413343,3.8
2000-06-01,Florida,7843623,3.8
2000-06-01,Georgia,4225755,3.7
2000-06-01,Hawaii,605133,4.2
2000-06-01,Idaho,659082,4.7
2000-06-01,Illinois,6496077,4.3
2000-06-01,Indiana,3128446,3.3
2000-06-01,Iowa,1585754,2.6
2000-06-01,Kansas,1408039,3.6
2000-06-01,Kentucky,1962889,4.1
2000-06-01,Louisiana,2033038,5.2
2000-06-01,Maine,679395,3.3
2000-06-01,Maryland,2801220,3.7
2000-06-01,Massachusetts,3320616,2.6
2000-06-01,Michigan,5163919,3.7
2000-06-01,Minnesota,2808736,3
2000-06-01,Mississippi,1324402,5.5
2000-06-01,Missouri,2948918,3.4
2000-06-01,Montana,468032,5
2000-06-01,Nebraska,945069,2.8
2000-06-01,Nevada,1064200,4.1
2000-06-01,New Hampshire,687780,2.7
2000-06-01,New Mexico,844378,4.9
2000-06-01,New York,9126545,4.6
2000-06-01,New jersey,4280052,3.6
2000-06-01,North Carolina,4138090,3.6
2000-06-01,North Dakota,342231,2.9
2000-06-01,Ohio,5786238,4.1
2000-06-01,Oklahoma,1659412,3.1
2000-06-01,Oregon,1821849,5.2
2000-06-01,Pennsylvania,6100213,4.1
2000-06-01,Rhode island,543885,4.1
2000-06-01,South Carolina,1996023,3.8
2000-06-01,South Dakota,408367,2.4
2000-06-01,Tennessee,2839455,3.9
2000-06-01,Texas,10355498,4.3
2000-06-01,Utah,1140607,3.3
2000-06-01,Vermont,331203,2.8
2000-06-01,Virginia,3595504,2.3
2000-06-01,Washington,3060176,5.1
2000-06-01,West Virginia,808363,5.4
2000-06-01,Wisconsin,2971948,3.6
2000-06-01,Wyoming,266591,3.8
2000-07-01,Alabama,2130313,4.5
2000-07-01,Alaska,319777,6.4
2000-07-01,Arizona,2503457,4
2000-07-01,Arkansas,1257820,4.2
2000-07-01,California,16883614,5
2000-07-01,Colorado,2356861,2.8
2000-07-01,Connecticut,1762901,2.3
2000-07-01,Delaware,414712,3.8
2000-07-01,Florida,7854270,3.8
2000-07-01,Georgia,4225523,3.7
2000-07-01,Hawaii,604857,4.2
2000-07-01,Idaho,660000,4.7
2000-07-01,Illinois,6485284,4.3
2000-07-01,Indiana,3120861,3.1
2000-07-01,Iowa,1586373,2.6
2000-07-01,Kansas,1404368,3.6
2000-07-01,Kentucky,1961421,4.1
2000-07-01,Louisiana,2028950,5.2
2000-07-01,Maine,677792,3.3
2000-07-01,Maryland,2803762,3.7
2000-07-01,Massachusetts,3318704,2.6
2000-07-01,Michigan,5158191,3.8
2000-07-01,Minnesota,2813086,3.1
2000-07-01,Mississippi,1321846,5.4
2000-07-01,Missouri,2951489,3.5
2000-07-01,Montana,467724,5
2000-07-01,Nebraska,945175,2.8
2000-07-01,Nevada,1068902,4.1
2000-07-01,New Hampshire,688447,2.7
2000-07-01,New Mexico,845707,4.9
2000-07-01,New York,9117373,4.6
2000-07-01,New jersey,4276328,3.7
2000-07-01,North Carolina,4140751,3.7
2000-07-01,North Dakota,342537,2.9
2000-07-01,Ohio,5782129,4.1
2000-07-01,Oklahoma,1659454,3.1
2000-07-01,Oregon,1821305,5.2
2000-07-01,Pennsylvania,6102279,4.1
2000-07-01,Rhode island,543886,4.1
2000-07-01,South Carolina,1993627,3.7
2000-07-01,South Dakota,408038,2.4
2000-07-01,Tennessee,2835491,4
2000-07-01,Texas,10353750,4.2
2000-07-01,Utah,1142892,3.3
2000-07-01,Vermont,331566,2.9
2000-07-01,Virginia,3595262,2.3
2000-07-01,Washington,3054823,5.2
2000-07-01,West Virginia,808136,5.4
2000-07-01,Wisconsin,2972549,3.7
2000-07-01,Wyoming,266974,3.9
2000-08-01,Alabama,2128594,4.5
2000-08-01,Alaska,319719,6.4
2000-08-01,Arizona,2505964,3.9
2000-08-01,Arkansas,1255550,4.2
2000-08-01,California,16903091,5
2000-08-01,Colorado,2357452,2.8
2000-08-01,Connecticut,1761428,2.2
2000-08-01,Delaware,415974,3.8
2000-08-01,Florida,7868460,3.7
2000-08-01,Georgia,4224983,3.6
2000-08-01,Hawaii,604851,4.1
2000-08-01,Idaho,660985,4.8
2000-08-01,Illinois,6476765,4.3
2000-08-01,Indiana,3114439,3
2000-08-01,Iowa,1588139,2.7
2000-08-01,Kansas,1401014,3.6
2000-08-01,Kentucky,1961456,4.1
2000-08-01,Louisiana,2027366,5.3
2000-08-01,Maine,676247,3.3
2000-08-01,Maryland,2807112,3.7
2000-08-01,Massachusetts,3319366,2.6
2000-08-01,Michigan,5154301,3.8
2000-08-01,Minnesota,2818258,3.2
2000-08-01,Mississippi,1318852,5.4
2000-08-01,Missouri,2957543,3.6
2000-08-01,Montana,467304,5
2000-08-01,Nebraska,945312,2.8
2000-08-01,Nevada,1073640,4.2
2000-08-01,New Hampshire,689098,2.7
2000-08-01,New Mexico,847239,4.9
2000-08-01,New York,9113416,4.5
2000-08-01,New jersey,4274539,3.7
2000-08-01,North Carolina,4143288,3.8
2000-08-01,North Dakota,342854,3
2000-08-01,Ohio,5779731,4
2000-08-01,Oklahoma,1659673,3
2000-08-01,Oregon,1820228,5.2
2000-08-01,Pennsylvania,6105998,4.2
2000-08-01,Rhode island,543840,4.2
2000-08-01,South Carolina,1991513,3.7
2000-08-01,South Dakota,407867,2.5
2000-08-01,Tennessee,2833678,4
2000-08-01,Texas,10359140,4.2
2000-08-01,Utah,1145409,3.4
2000-08-01,Vermont,331950,2.9
2000-08-01,Virginia,3598924,2.2
2000-08-01,Washington,3050447,5.3
2000-08-01,West Virginia,808253,5.5
2000-08-01,Wisconsin,2973678,3.7
2000-08-01,Wyoming,267361,3.9
2000-09-01,Alabama,2127432,4.5
2000-09-01,Alaska,319625,6.4
2000-09-01,Arizona,2510866,3.9
2000-09-01,Arkansas,1253620,4.2
2000-09-01,California,16927979,4.9
2000-09-01,Colorado,2359410,2.8
2000-09-01,Connecticut,1760482,2.2
2000-09-01,Delaware,417246,3.9
2000-09-01,Florida,7887105,3.7
2000-09-01,Georgia,4226525,3.5
2000-09-01,Hawaii,605219,4.1
2000-09-01,Idaho,662019,4.8
2000-09-01,Illinois,6472215,4.3
2000-09-01,Indiana,3111328,2.9
2000-09-01,Iowa,1590758,2.7
2000-09-01,Kansas,1398459,3.7
2000-09-01,Kentucky,1962928,4.2
2000-09-01,Louisiana,2028697,5.4
2000-09-01,Maine,674992,3.3
2000-09-01,Maryland,2811536,3.7
2000-09-01,Massachusetts,3322691,2.6
2000-09-01,Michigan,5153830,3.9
2000-09-01,Minnesota,2823635,3.3
2000-09-01,Mississippi,1315831,5.2
2000-09-01,Missouri,2967517,3.8
2000-09-01,Montana,466889,4.9
2000-09-01,Nebraska,945539,2.9
2000-09-01,Nevada,1078406,4.3
2000-09-01,New Hampshire,689971,2.6
2000-09-01,New Mexico,848903,4.9
2000-09-01,New York,9116092,4.5
2000-09-01,New jersey,4274273,3.8
2000-09-01,North Carolina,4148062,3.9
2000-09-01,North Dakota,343158,3
2000-09-01,Ohio,5780759,4
2000-09-01,Oklahoma,1660124,3
2000-09-01,Oregon,1819174,5.2
2000-09-01,Pennsylvania,6112288,4.2
2000-09-01,Rhode island,543806,4.1
2000-09-01,South Carolina,1990790,3.7
2000-09-01,South Dakota,407909,2.5
2000-09-01,Tennessee,2834362,3.9
2000-09-01,Texas,10371939,4.1
2000-09-01,Utah,1148144,3.5
2000-09-01,Vermont,332411,2.9
2000-09-01,Virginia,3606796,2.2
2000-09-01,Washington,3047655,5.3
2000-09-01,West Virginia,808785,5.5
2000-09-01,Wisconsin,2976359,3.7
2000-09-01,Wyoming,267730,3.9
2000-10-01,Alabama,2126852,4.6
2000-10-01,Alaska,319530,6.4
2000-10-01,Arizona,2518133,3.9
2000-10-01,Arkansas,1252246,4.3
2000-10-01,California,16959864,4.8
2000-10-01,Colorado,2362477,2.8
2000-10-01,Connecticut,1760120,2.2
2000-10-01,Delaware,418586,3.9
2000-10-01,Florida,7910710,3.7
2000-10-01,Georgia,4231594,3.4
2000-10-01,Hawaii,605983,4
2000-10-01,Idaho,663216,4.8
2000-10-01,Illinois,6472347,4.4
2000-10-01,Indiana,3112778,2.9
2000-10-01,Iowa,1593830,2.8
2000-10-01,Kansas,1396925,3.8
2000-10-01,Kentucky,1965207,4.2
2000-10-01,Louisiana,2032548,5.6
2000-10-01,Maine,674135,3.3
2000-10-01,Maryland,2816750,3.6
2000-10-01,Massachusetts,3328722,2.6
2000-10-01,Michigan,5157157,3.9
2000-10-01,Minnesota,2828747,3.3
2000-10-01,Mississippi,1313321,5.1
2000-10-01,Missouri,2980523,4
2000-10-01,Montana,466574,4.9
2000-10-01,Nebraska,945921,2.9
2000-10-01,Nevada,1083230,4.4
2000-10-01,New Hampshire,691199,2.6
2000-10-01,New Mexico,850596,4.9
2000-10-01,New York,9124683,4.4
2000-10-01,New jersey,4274352,3.8
2000-10-01,North Carolina,4156817,4
2000-10-01,North Dakota,343428,3
2000-10-01,Ohio,5785564,3.9
2000-10-01,Oklahoma,1661165,2.9
2000-10-01,Oregon,1818581,5.1
2000-10-01,Pennsylvania,6121994,4.2
2000-10-01,Rhode island,543873,4.1
2000-10-01,South Carolina,1992277,3.7
2000-10-01,South Dakota,408177,2.5
2000-10-01,Tennessee,2837370,3.9
2000-10-01,Texas,10390780,4.1
2000-10-01,Utah,1151019,3.6
2000-10-01,Vermont,332931,2.9
2000-10-01,Virginia,3618451,2.1
2000-10-01,Washington,3046555,5.3
2000-10-01,West Virginia,809711,5.5
2000-10-01,Wisconsin,2981215,3.7
2000-10-01,Wyoming,268053,3.9
2000-11-01,Alabama,2126907,4.6
2000-11-01,Alaska,319459,6.4
2000-11-01,Arizona,2527291,3.9
2000-11-01,Arkansas,1251531,4.3
2000-11-01,California,16997809,4.8
2000-11-01,Colorado,2365870,2.7
2000-11-01,Connecticut,1760275,2.3
2000-11-01,Delaware,419944,3.9
2000-11-01,Florida,7938329,3.7
2000-11-01,Georgia,4240279,3.4
2000-11-01,Hawaii,607116,4
2000-11-01,Idaho,664677,4.8
2000-11-01,Illinois,6476902,4.5
2000-11-01,Indiana,3118715,3
2000-11-01,Iowa,1597030,2.9
2000-11-01,Kansas,1396170,3.8
2000-11-01,Kentucky,1967701,4.3
2000-11-01,Louisiana,2037795,5.7
2000-11-01,Maine,673671,3.2
2000-11-01,Maryland,2821958,3.6
2000-11-01,Massachusetts,3337015,2.7
2000-11-01,Michigan,5163212,4
2000-11-01,Minnesota,2833383,3.4
2000-11-01,Mississippi,1311625,5.1
2000-11-01,Missouri,2994421,4.2
2000-11-01,Montana,466423,4.8
2000-11-01,Nebraska,946489,2.9
2000-11-01,Nevada,1088048,4.5
2000-11-01,New Hampshire,692708,2.6
2000-11-01,New Mexico,852167,4.9
2000-11-01,New York,9135828,4.3
2000-11-01,New jersey,4273777,3.8
2000-11-01,North Carolina,4169397,4.1
2000-11-01,North Dakota,343651,2.9
2000-11-01,Ohio,5793467,3.8
2000-11-01,Oklahoma,1662931,2.9
2000-11-01,Oregon,1818641,5.1
2000-11-01,Pennsylvania,6134560,4.3
2000-11-01,Rhode island,544065,4.1
2000-11-01,South Carolina,1996135,3.8
2000-11-01,South Dakota,408625,2.6
2000-11-01,Tennessee,2842158,3.9
2000-11-01,Texas,10413547,4
2000-11-01,Utah,1153832,3.7
2000-11-01,Vermont,333485,2.9
2000-11-01,Virginia,3632208,2.1
2000-11-01,Washington,3046676,5.4
2000-11-01,West Virginia,810955,5.4
2000-11-01,Wisconsin,2988175,3.7
2000-11-01,Wyoming,268322,3.9
2000-12-01,Alabama,2127030,4.6
2000-12-01,Alaska,319455,6.4
2000-12-01,Arizona,2537351,3.9
2000-12-01,Arkansas,1251430,4.4
2000-12-01,California,17036809,4.7
2000-12-01,Colorado,2368896,2.7
2000-12-01,Connecticut,1760779,2.4
2000-12-01,Delaware,421163,3.9
2000-12-01,Florida,7967452,3.7
2000-12-01,Georgia,4250682,3.4
2000-12-01,Hawaii,608459,4
2000-12-01,Idaho,666404,4.8
2000-12-01,Illinois,6484014,4.6
2000-12-01,Indiana,3127358,3.1
2000-12-01,Iowa,1599986,3
2000-12-01,Kansas,1395628,3.9
2000-12-01,Kentucky,1969532,4.4
2000-12-01,Louisiana,2042652,5.7
2000-12-01,Maine,673584,3.3
2000-12-01,Maryland,2826117,3.6
2000-12-01,Massachusetts,3346514,2.8
2000-12-01,Michigan,5169633,4.2
2000-12-01,Minnesota,2837269,3.4
2000-12-01,Mississippi,1310386,5
2000-12-01,Missouri,3006359,4.3
2000-12-01,Montana,466461,4.7
2000-12-01,Nebraska,947214,2.9
2000-12-01,Nevada,1092671,4.6
2000-12-01,New Hampshire,694282,2.7
2000-12-01,New Mexico,853505,4.9
2000-12-01,New York,9145125,4.2
2000-12-01,New jersey,4272154,3.7
2000-12-01,North Carolina,4183822,4.2
2000-12-01,North Dakota,343831,2.9
2000-12-01,Ohio,5802505,3.8
2000-12-01,Oklahoma,1665092,2.9
2000-12-01,Oregon,1819199,5.2
2000-12-01,Pennsylvania,6147993,4.3
2000-12-01,Rhode island,544274,4.1
2000-12-01,South Carolina,1983744,4
2000-12-01,South Dakota,409196,2.6
2000-12-01,Tennessee,2847476,3.9
2000-12-01,Texas,10437506,4
2000-12-01,Utah,1156309,3.8
2000-12-01,Vermont,334044,3
2000-12-01,Virginia,3645647,2.2
2000-12-01,Washington,3047336,5.4
2000-12-01,West Virginia,812160,5.4
2000-12-01,Wisconsin,2996425,3.8
2000-12-01,Wyoming,268534,3.8
2001-01-01,Alabama,2126441,4.7
2001-01-01,Alaska,319538,6.3
2001-01-01,Arizona,2546950,4
2001-01-01,Arkansas,1251600,4.5
2001-01-01,California,17070072,4.8
2001-01-01,Colorado,2371069,2.8
2001-01-01,Connecticut,1761322,2.6
2001-01-01,Delaware,422076,3.8
2001-01-01,Florida,7994604,3.8
2001-01-01,Georgia,4259706,3.5
2001-01-01,Hawaii,609767,4
2001-01-01,Idaho,668377,4.8
2001-01-01,Illinois,6490801,4.8
2001-01-01,Indiana,3135745,3.3
2001-01-01,Iowa,1602419,3
2001-01-01,Kansas,1394800,3.9
2001-01-01,Kentucky,1969813,4.5
2001-01-01,Louisiana,2045343,5.8
2001-01-01,Maine,673783,3.3
2001-01-01,Maryland,2828582,3.6
2001-01-01,Massachusetts,3355867,3
2001-01-01,Michigan,5173580,4.4
2001-01-01,Minnesota,2840164,3.4
2001-01-01,Mississippi,1308873,5
2001-01-01,Missouri,3014132,4.4
2001-01-01,Montana,466668,4.7
2001-01-01,Nebraska,948001,2.9
2001-01-01,Nevada,1096906,4.6
2001-01-01,New Hampshire,695706,2.7
2001-01-01,New Mexico,854620,4.9
2001-01-01,New York,9149403,4.2
2001-01-01,New jersey,4269917,3.7
2001-01-01,North Carolina,4196828,4.4
2001-01-01,North Dakota,343985,2.8
2001-01-01,Ohio,5810051,3.7
2001-01-01,Oklahoma,1667244,3
2001-01-01,Oregon,1819942,5.3
2001-01-01,Pennsylvania,6159923,4.3
2001-01-01,Rhode island,544366,4.2
2001-01-01,South Carolina,1974517,4.2
2001-01-01,South Dakota,409835,2.7
2001-01-01,Tennessee,2851744,3.9
2001-01-01,Texas,10459411,4.1
2001-01-01,Utah,1158246,3.8
2001-01-01,Vermont,334553,3
2001-01-01,Virginia,3656586,2.3
2001-01-01,Washington,3047623,5.6
2001-01-01,West Virginia,812949,5.3
2001-01-01,Wisconsin,3004455,3.9
2001-01-01,Wyoming,268719,3.8
2001-02-01,Alabama,2124721,4.7
2001-02-01,Alaska,319726,6.3
2001-02-01,Arizona,2555131,4.1
2001-02-01,Arkansas,1251882,4.6
2001-02-01,California,17093194,4.8
2001-02-01,Colorado,2372464,2.9
2001-02-01,Connecticut,1761641,2.8
2001-02-01,Delaware,422562,3.7
2001-02-01,Florida,8016913,3.9
2001-02-01,Georgia,4264933,3.6
2001-02-01,Hawaii,610857,4.1
2001-02-01,Idaho,670534,4.8
2001-02-01,Illinois,6494515,4.9
2001-02-01,Indiana,3141119,3.5
2001-02-01,Iowa,1604253,3.1
2001-02-01,Kansas,1393505,4
2001-02-01,Kentucky,1968375,4.6
2001-02-01,Louisiana,2045091,5.7
2001-02-01,Maine,674128,3.4
2001-02-01,Maryland,2829454,3.6
2001-02-01,Massachusetts,3363947,3.1
2001-02-01,Michigan,5172477,4.6
2001-02-01,Minnesota,2842233,3.4
2001-02-01,Mississippi,1306547,5
2001-02-01,Missouri,3017174,4.4
2001-02-01,Montana,466962,4.6
2001-02-01,Nebraska,948799,2.9
2001-02-01,Nevada,1100675,4.7
2001-02-01,New Hampshire,696779,2.8
2001-02-01,New Mexico,855582,4.9
2001-02-01,New York,9148011,4.2
2001-02-01,New jersey,4267966,3.7
2001-02-01,North Carolina,4205709,4.6
2001-02-01,North Dakota,344071,2.8
2001-02-01,Ohio,5814006,3.7
2001-02-01,Oklahoma,1669141,3
2001-02-01,Oregon,1820696,5.4
2001-02-01,Pennsylvania,6168610,4.4
2001-02-01,Rhode island,544294,4.2
2001-02-01,South Carolina,1966697,4.5
2001-02-01,South Dakota,410505,2.8
2001-02-01,Tennessee,2854065,3.9
2001-02-01,Texas,10477511,4.2
2001-02-01,Utah,1159601,3.9
2001-02-01,Vermont,335007,3
2001-02-01,Virginia,3663965,2.4
2001-02-01,Washington,3046948,5.7
2001-02-01,West Virginia,813156,5.2
2001-02-01,Wisconsin,3010776,4
2001-02-01,Wyoming,268904,3.8
2001-03-01,Alabama,2121781,4.7
2001-03-01,Alaska,320042,6.3
2001-03-01,Arizona,2561507,4.2
2001-03-01,Arkansas,1252232,4.7
